id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1175778689058926592,1175778689058926592,1569162459000,2019-09-22,21:27:39,SE Asia Standard Time,1123593142974828547,tegar_elhaqqi,Teg∆R.elhaqqi,,"#BesokSenin adalah hal yg membahayakan jika melewati jalur yg di lalui oleh keramaian aksi #GejayanMemanggil ...yg ikutan aksi selamat memperjuangkan keadilan, yg kerja tetap beraktivitas seperti biasa.. yg masuk ngajar di sekolahan juga tetap semangat untuk besok pagi...  pic.twitter.com/qNn14XqOGi",[],[],['https://pbs.twimg.com/media/EFE0e05VAAAsiFx.jpg'],1,0,1,"['#besoksenin', '#gejayanmemanggil']",[],https://twitter.com/Tegar_elhaqqi/status/1175778689058926592,False,,0,,,,,,,"[{'user_id': '1123593142974828547', 'username': 'Tegar_elhaqqi'}]",,,,
1175778668662013952,1175778668662013952,1569162454000,2019-09-22,21:27:34,SE Asia Standard Time,1163779382818643969,arzonsaputro_,Zonn,,"Kemungkinan beberapa hari ke depan bakalan semakin bar-bar, aksi turun jalan dan demo bakal terjadi dimana-mana, akibat Reformasi yang di korupsi, alhasil suasana Orde Baru kembali lagi.
Semoga Indonesia yang sedang tidak baik-baik saja kembali baik-baik saja.

#GejayanMemanggil",[],[],[],0,1,1,['#gejayanmemanggil'],[],https://twitter.com/ArzonSaputro_/status/1175778668662013952,False,,0,,,,,,,"[{'user_id': '1163779382818643969', 'username': 'ArzonSaputro_'}]",,,,
1175778664727736320,1175778664727736320,1569162453000,2019-09-22,21:27:33,SE Asia Standard Time,2919165798,ifanemin,irfan al amin,,"Dan bagi anda yang belum paham arti demokrasi atau belum pernah belajar politik sama sekali, sekedar saran ngga usah sok ikut2an demo. Biar ngga jadi provokator atau korban provokasi  #GejayanMemanggil",[],[],[],0,0,2,['#gejayanmemanggil'],[],https://twitter.com/ifanemin/status/1175778664727736320,False,,0,,,,,,,"[{'user_id': '2919165798', 'username': 'ifanemin'}]",,,,
1175778580069937152,1175778580069937152,1569162433000,2019-09-22,21:27:13,SE Asia Standard Time,540691620,dwiardiyan_,Ardiyan,,Pengen ikut berjuang bareng temen temen #GejayanMemanggil,[],[],[],1,0,2,['#gejayanmemanggil'],[],https://twitter.com/dwiardiyan_/status/1175778580069937152,False,,0,,,,,,,"[{'user_id': '540691620', 'username': 'dwiardiyan_'}]",,,,
1175778575296974854,1175760893436542976,1569162431000,2019-09-22,21:27:11,SE Asia Standard Time,1078789780060594176,kanghardi1008,mBang B'm@s,,"Nyengguol

#GejayanMemanggil
#GejayanMemanggil",['kanseulir'],[],[],0,0,8,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/kanghardi1008/status/1175778575296974854,False,,0,,,,,,,"[{'user_id': '1078789780060594176', 'username': 'kanghardi1008'}, {'user_id': '279312062', 'username': 'Kanseulir'}]",,,,
1175778549820620800,1175639683973304321,1569162425000,2019-09-22,21:27:05,SE Asia Standard Time,2253516799,hadib1s4,kangen kampung halaman,,"Yaeyalah...
udah berubah namanya jd jalan Afandi 😂

Yang besok ikut demo jangan lupa sampahnya dibawa pulang ya kakak...

#GejayanBersih
#GejayanTertib
#GejayanMemanggil","['niveabekas', 'berdikaribook']",[],[],1,1,2,"['#gejayanbersih', '#gejayantertib', '#gejayanmemanggil']",[],https://twitter.com/Hadib1s4/status/1175778549820620800,False,,0,,,,,,,"[{'user_id': '2253516799', 'username': 'Hadib1s4'}, {'user_id': '2261039095', 'username': 'niveabekas'}, {'user_id': '884015529077334016', 'username': 'BerdikariBook'}]",,,,
1175778517637718017,1175778517637718017,1569162418000,2019-09-22,21:26:58,SE Asia Standard Time,1051088588400553985,belangtiga,Cantigi Papandayan,,"#GejayanMemanggil
#RakyatBergerak pic.twitter.com/U8CcepJpn6",[],[],['https://pbs.twimg.com/media/EFE0UyoUcAAkU3C.jpg'],0,1,0,"['#gejayanmemanggil', '#rakyatbergerak']",[],https://twitter.com/Belangtiga/status/1175778517637718017,False,,0,,,,,,,"[{'user_id': '1051088588400553985', 'username': 'Belangtiga'}]",,,,
1175778487539363840,1175778487539363840,1569162410000,2019-09-22,21:26:50,SE Asia Standard Time,1116543858,nizarramadhan_,Nizar,,"Ini mosi tidak percaya, jgn anggap kami tak berdaya #GejayanMemanggil  https://open.spotify.com/track/19ydLYSYO4fcJ3RTADrLUN?si=7TouE93uQTWXLzrNYfAD_Q …",[],['https://open.spotify.com/track/19ydLYSYO4fcJ3RTADrLUN?si=7TouE93uQTWXLzrNYfAD_Q'],[],0,1,0,['#gejayanmemanggil'],[],https://twitter.com/nizarramadhan_/status/1175778487539363840,False,,0,,,,,,,"[{'user_id': '1116543858', 'username': 'nizarramadhan_'}]",,,,
1175778480673439745,1175760893436542976,1569162409000,2019-09-22,21:26:49,SE Asia Standard Time,1078789780060594176,kanghardi1008,mBang B'm@s,,"Melesat dikit

#GejayanMemanggil
#GejayanMemanggil",['kanseulir'],[],[],0,0,5,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/kanghardi1008/status/1175778480673439745,False,,0,,,,,,,"[{'user_id': '1078789780060594176', 'username': 'kanghardi1008'}, {'user_id': '279312062', 'username': 'Kanseulir'}]",,,,
1175778456757424129,1175778456757424129,1569162403000,2019-09-22,21:26:43,SE Asia Standard Time,187842127,zikriran,Zikri Ran,,"yg gaada kelas kek @fakhrulisasi , @kresekwalmart , dkk. musti ikut ini!!! #GejayanMemanggil  pic.twitter.com/hPsRf4z11t",['fakhrulisasi'],[],['https://pbs.twimg.com/media/EFE0NHgU8AEzDUz.jpg'],1,1,1,['#gejayanmemanggil'],[],https://twitter.com/zikriran/status/1175778456757424129,False,,0,,,,,,,"[{'user_id': '187842127', 'username': 'zikriran'}, {'user_id': '1040668469400764416', 'username': 'fakhrulisasi'}]",,,,
1175778402093023236,1175778402093023236,1569162390000,2019-09-22,21:26:30,SE Asia Standard Time,4767262393,rippedpants_,🤐,,Semoga media gak ada yg buta #GejayanMemanggil,[],[],[],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/rippedpants_/status/1175778402093023236,False,,0,,,,,,,"[{'user_id': '4767262393', 'username': 'rippedpants_'}]",,,,
1175778357889290240,1175778357889290240,1569162380000,2019-09-22,21:26:20,SE Asia Standard Time,789481007346913280,goodkristof,Luce,,ss dr tmn di Jogja #GejayanMemanggil besok!  pic.twitter.com/LZdgYg5aSQ,[],[],['https://pbs.twimg.com/media/EFE0LzTUEAAEcFL.jpg'],0,0,0,['#gejayanmemanggil'],[],https://twitter.com/goodkristof/status/1175778357889290240,False,,0,,,,,,,"[{'user_id': '789481007346913280', 'username': 'goodkristof'}]",,,,
1175778338838908928,1175760893436542976,1569162375000,2019-09-22,21:26:15,SE Asia Standard Time,1078789780060594176,kanghardi1008,mBang B'm@s,,"Lempeng

#GejayanMemanggil
#GejayanMemanggil",['kanseulir'],[],[],0,0,5,"['#gejayanmemanggil', '#gejayanmemanggil']",[],https://twitter.com/kanghardi1008/status/1175778338838908928,False,,0,,,,,,,"[{'user_id': '1078789780060594176', 'username': 'kanghardi1008'}, {'user_id': '279312062', 'username': 'Kanseulir'}]",,,,
